<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.06.30	09:09:42.212			14.060	36.00000000	56
2026.06.30	09:09:42.212			14.060	32.00000000	56
2026.06.30	09:09:42.219			14.060	18.00000000	56
2026.06.30	09:09:42.221			14.060	51.00000000	56
2026.06.30	09:09:42.914			14.060	36.00000000	56
2026.06.30	09:09:42.916			14.060	32.00000000	56
2026.06.30	09:09:42.923			14.060	19.00000000	56
2026.06.30	09:09:42.923			14.060	50.00000000	56
2026.06.30	09:09:45.622			14.060	68.00000000	56
2026.06.30	09:09:45.641			14.060	69.00000000	56
2026.06.30	09:09:45.647			14.060	64.00000000	56
2026.06.30	09:09:45.648			14.060	4.00000000	56
2026.06.30	09:09:45.653			14.060	69.00000000	56
2026.06.30	09:09:45.655			14.060	41.00000000	56
2026.06.30	09:09:45.656			14.060	14.00000000	56
2026.06.30	09:09:45.657			14.060	14.00000000	56
2026.06.30	09:09:45.660			14.060	50.00000000	56
2026.06.30	09:09:45.661			14.060	18.00000000	56
2026.06.30	09:09:45.665			14.060	37.00000000	56
2026.06.30	09:09:45.665			14.060	32.00000000	56
2026.06.30	09:09:45.669			14.060	4.00000000	56
2026.06.30	09:09:45.670			14.060	64.00000000	56
2026.06.30	09:09:45.674			14.060	32.00000000	56
2026.06.30	09:09:46.099			14.060	37.00000000	56
2026.06.30	09:09:46.099			14.060	32.00000000	56
2026.06.30	09:09:46.103			14.060	36.00000000	56
2026.06.30	09:09:46.103			14.060	32.00000000	56
2026.06.30	09:09:46.108			14.060	69.00000000	56
2026.06.30	09:09:46.112			14.060	87.00000000	56
2026.06.30	09:09:46.116			14.060	50.00000000	56
2026.06.30	09:09:46.121			14.060	32.00000000	56
2026.06.30	09:09:46.349			14.060	23.00000000	56
2026.06.30	09:09:46.353			14.060	44.00000000	56
2026.06.30	09:09:46.358			14.060	7.00000000	56
2026.06.30	09:09:46.358			14.060	18.00000000	56
2026.06.30	09:09:46.358			14.060	6.00000000	56
2026.06.30	09:09:46.362			14.060	30.00000000	56
2026.06.30	09:09:46.367			14.060	30.00000000	56
2026.06.30	09:09:46.371			14.060	30.00000000	56
2026.06.30	09:09:46.376			14.060	30.00000000	56
2026.06.30	09:09:46.380			14.060	30.00000000	56
2026.06.30	09:09:46.385			14.060	30.00000000	56
2026.06.30	09:09:46.389			14.060	30.00000000	56
2026.06.30	09:09:46.394			14.060	30.00000000	56
2026.06.30	09:09:46.398			14.060	30.00000000	56
2026.06.30	09:09:46.403			14.060	30.00000000	56
2026.06.30	09:09:46.407			14.060	30.00000000	56
2026.06.30	09:09:46.411			14.060	10.00000000	56
2026.06.30	09:09:46.411			14.060	20.00000000	56
2026.06.30	09:09:46.416	14.060				2
2026.06.30	09:09:46.416		14.065			4
2026.06.30	09:09:51.890			14.060	27.00000000	88
2026.06.30	09:09:51.893			14.060	3.00000000	88
2026.06.30	09:09:51.902			14.060	50.00000000	88
2026.06.30	09:09:51.911			14.060	2.00000000	88
2026.06.30	09:09:51.911			14.060	14.00000000	88
2026.06.30	09:09:51.915			14.060	9.00000000	88
2026.06.30	09:09:52.000	14.055				2
2026.06.30	09:09:52.000		14.060			4
2026.06.30	09:09:52.385			14.060	5.00000000	56
2026.06.30	09:09:52.386			14.060	4.00000000	56
2026.06.30	09:09:52.390			14.060	30.00000000	56
2026.06.30	09:09:52.501		14.065			4
2026.06.30	09:09:52.622			14.060	2.00000000	120
2026.06.30	09:09:53.178			14.060	9.00000000	120
2026.06.30	09:09:53.179			14.060	6.00000000	120
2026.06.30	09:09:53.184			14.060	30.00000000	120
2026.06.30	09:09:53.188			14.060	30.00000000	120
2026.06.30	09:09:53.193			14.060	30.00000000	120
2026.06.30	09:09:53.197			14.060	30.00000000	120
