<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.06.30	10:06:29.115			37.81	100.00000000	88
2026.06.30	10:06:29.709			37.84	100.00000000	56
2026.06.30	10:06:29.710			37.81	3200.00000000	88
2026.06.30	10:06:29.731			37.80	600.00000000	88
2026.06.30	10:06:29.736	37.80				2
2026.06.30	10:06:29.736		37.83			4
2026.06.30	10:06:29.858			37.80	300.00000000	88
2026.06.30	10:06:31.800			37.80	100.00000000	88
2026.06.30	10:06:31.827			37.80	100.00000000	88
2026.06.30	10:06:31.829			37.80	100.00000000	88
2026.06.30	10:06:33.262			37.83	100.00000000	56
2026.06.30	10:06:33.662			37.80	1600.00000000	88
2026.06.30	10:06:33.702			37.80	300.00000000	88
2026.06.30	10:06:34.212			37.82	1000.00000000	120
2026.06.30	10:06:34.528			37.80	1600.00000000	88
2026.06.30	10:06:34.540			37.80	200.00000000	88
2026.06.30	10:06:35.240			37.80	2500.00000000	88
2026.06.30	10:06:35.240			37.79	2200.00000000	88
2026.06.30	10:06:35.259			37.79	900.00000000	88
2026.06.30	10:06:35.360	37.79				2
2026.06.30	10:06:35.360		37.82			4
2026.06.30	10:06:35.435			37.81	200.00000000	120
2026.06.30	10:06:35.982			37.79	1200.00000000	88
2026.06.30	10:06:36.015			37.79	200.00000000	88
2026.06.30	10:06:36.968			37.81	200.00000000	120
2026.06.30	10:06:36.972			37.82	100.00000000	56
2026.06.30	10:06:42.169			37.82	3200.00000000	56
2026.06.30	10:06:42.169			37.83	600.00000000	56
2026.06.30	10:06:42.193			37.80	700.00000000	120
2026.06.30	10:06:42.280	37.80				2
2026.06.30	10:06:42.280		37.83			4
2026.06.30	10:06:43.502	37.81				2
2026.06.30	10:06:45.004	37.82				2
2026.06.30	10:06:45.214			37.82	1100.00000000	88
2026.06.30	10:06:45.234			37.81	200.00000000	88
2026.06.30	10:06:45.297			37.81	900.00000000	88
2026.06.30	10:06:45.315	37.81				2
2026.06.30	10:06:45.431		37.82			4
2026.06.30	10:06:47.313			37.81	200.00000000	88
2026.06.30	10:06:47.640			37.81	1500.00000000	88
2026.06.30	10:06:47.643			37.81	200.00000000	88
2026.06.30	10:06:47.675			37.80	200.00000000	88
2026.06.30	10:06:47.691			37.79	100.00000000	88
2026.06.30	10:06:47.758			37.80	1000.00000000	88
2026.06.30	10:06:47.859	37.79				2
2026.06.30	10:06:48.594			37.80	500.00000000	120
2026.06.30	10:06:48.594			37.79	500.00000000	88
2026.06.30	10:06:48.594			37.79	3000.00000000	88
2026.06.30	10:06:48.601			37.79	700.00000000	88
