<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.06.30	12:07:01.476			174345	1.00000000	88
2026.06.30	12:07:01.486			174345	6.00000000	88
2026.06.30	12:07:01.489			174345	2.00000000	88
2026.06.30	12:07:01.499			174345	1.00000000	88
2026.06.30	12:07:01.500			174350	6.00000000	56
2026.06.30	12:07:01.501			174345	16.00000000	88
2026.06.30	12:07:01.501			174345	22.00000000	88
2026.06.30	12:07:01.568			174345	3.00000000	88
2026.06.30	12:07:01.570			174350	10.00000000	56
2026.06.30	12:07:01.595			174350	3.00000000	56
2026.06.30	12:07:01.620			174350	5.00000000	56
2026.06.30	12:07:01.623			174350	28.00000000	56
2026.06.30	12:07:01.674			174350	20.00000000	56
2026.06.30	12:07:01.733			174355	1.00000000	56
2026.06.30	12:07:01.743	174350				2
2026.06.30	12:07:01.743		174355			4
2026.06.30	12:07:01.777			174355	30.00000000	56
2026.06.30	12:07:01.839			174355	53.00000000	56
2026.06.30	12:07:01.840			174360	1.00000000	56
2026.06.30	12:07:01.840			174355	20.00000000	56
2026.06.30	12:07:01.845			174355	2.00000000	56
2026.06.30	12:07:01.885			174355	2.00000000	56
2026.06.30	12:07:01.892			174355	1.00000000	56
2026.06.30	12:07:01.915			174360	2.00000000	56
2026.06.30	12:07:01.950			174355	10.00000000	56
2026.06.30	12:07:01.955			174360	1.00000000	56
2026.06.30	12:07:01.976			174360	1.00000000	56
2026.06.30	12:07:02.006			174360	1.00000000	56
2026.06.30	12:07:02.042			174355	1.00000000	56
2026.06.30	12:07:02.054			174360	1.00000000	56
2026.06.30	12:07:02.061			174355	22.00000000	56
2026.06.30	12:07:02.079			174355	1.00000000	56
2026.06.30	12:07:02.097	174355				2
2026.06.30	12:07:02.097			174360	1.00000000	56
2026.06.30	12:07:02.097		174360			4
2026.06.30	12:07:02.122			174355	1.00000000	88
2026.06.30	12:07:02.163			174355	1.00000000	88
2026.06.30	12:07:02.193			174360	1.00000000	56
2026.06.30	12:07:02.198			174360	20.00000000	56
2026.06.30	12:07:02.203			174355	2.00000000	88
2026.06.30	12:07:02.212			174355	1.00000000	88
2026.06.30	12:07:02.217			174360	3.00000000	56
2026.06.30	12:07:02.222			174355	3.00000000	88
2026.06.30	12:07:02.268			174355	1.00000000	88
2026.06.30	12:07:02.273			174360	1.00000000	56
2026.06.30	12:07:02.284			174355	1.00000000	88
2026.06.30	12:07:02.304			174360	2.00000000	56
2026.06.30	12:07:02.403			174360	1.00000000	56
2026.06.30	12:07:02.450			174355	26.00000000	88
2026.06.30	12:07:02.451			174355	2.00000000	88
2026.06.30	12:07:02.486			174350	1.00000000	88
2026.06.30	12:07:02.507			174350	2.00000000	88
2026.06.30	12:07:02.523			174355	5.00000000	88
2026.06.30	12:07:02.609			174355	15.00000000	88
2026.06.30	12:07:02.612			174350	1.00000000	88
2026.06.30	12:07:02.650			174350	1.00000000	88
2026.06.30	12:07:02.655			174355	1.00000000	88
2026.06.30	12:07:02.662			174355	10.00000000	88
2026.06.30	12:07:02.665			174355	2.00000000	88
2026.06.30	12:07:02.672			174355	1.00000000	88
2026.06.30	12:07:02.672			174350	1.00000000	88
2026.06.30	12:07:02.683			174355	10.00000000	88
2026.06.30	12:07:02.740			174355	1.00000000	88
2026.06.30	12:07:02.752			174355	1.00000000	88
2026.06.30	12:07:02.786	174350				2
2026.06.30	12:07:02.786		174355			4
2026.06.30	12:07:02.802			174355	1.00000000	56
2026.06.30	12:07:02.816			174355	1.00000000	56
2026.06.30	12:07:02.880			174355	1.00000000	56
2026.06.30	12:07:02.896			174350	2.00000000	88
2026.06.30	12:07:02.914			174355	1.00000000	56
2026.06.30	12:07:02.976			174355	10.00000000	56
2026.06.30	12:07:02.981			174355	1.00000000	56
2026.06.30	12:07:02.984			174350	71.00000000	88
2026.06.30	12:07:02.984			174350	35.00000000	88
2026.06.30	12:07:02.997			174345	9.00000000	88
2026.06.30	12:07:03.022			174350	2.00000000	88
2026.06.30	12:07:03.099			174350	8.00000000	88
2026.06.30	12:07:03.204			174350	1.00000000	88
2026.06.30	12:07:03.218			174355	47.00000000	56
2026.06.30	12:07:03.218			174355	34.00000000	56
2026.06.30	12:07:03.229			174350	3.00000000	88
2026.06.30	12:07:03.238			174350	1.00000000	88
2026.06.30	12:07:03.277			174355	1.00000000	56
2026.06.30	12:07:03.356			174350	1.00000000	88
2026.06.30	12:07:03.395			174350	1.00000000	88
2026.06.30	12:07:03.398			174355	1.00000000	56
2026.06.30	12:07:03.436			174350	1.00000000	88
2026.06.30	12:07:03.439			174355	21.00000000	56
2026.06.30	12:07:03.441			174355	1.00000000	56
2026.06.30	12:07:03.605			174355	10.00000000	56
2026.06.30	12:07:03.607			174350	38.00000000	88
2026.06.30	12:07:03.626			174350	1.00000000	88
2026.06.30	12:07:03.693			174350	1.00000000	88
2026.06.30	12:07:03.806			174350	3.00000000	88
2026.06.30	12:07:03.847			174345	10.00000000	88
2026.06.30	12:07:03.847	174345				2
2026.06.30	12:07:03.847		174350			4
2026.06.30	12:07:03.859			174350	1.00000000	56
2026.06.30	12:07:03.895			174350	3.00000000	56
2026.06.30	12:07:04.040			174350	4.00000000	56
2026.06.30	12:07:04.040			174355	21.00000000	56
2026.06.30	12:07:04.056	174350				2
2026.06.30	12:07:04.180		174355			4
2026.06.30	12:07:04.211			174350	5.00000000	88
2026.06.30	12:07:04.259			174355	5.00000000	56
2026.06.30	12:07:04.267			174350	1.00000000	88
2026.06.30	12:07:04.299			174345	3.00000000	88
2026.06.30	12:07:04.303			174350	1.00000000	88
2026.06.30	12:07:04.308			174355	1.00000000	56
2026.06.30	12:07:04.311			174350	1.00000000	88
2026.06.30	12:07:04.332			174355	2.00000000	56
2026.06.30	12:07:04.474			174355	2.00000000	56
2026.06.30	12:07:04.492			174350	1.00000000	88
2026.06.30	12:07:04.496			174350	3.00000000	88
2026.06.30	12:07:04.496			174345	4.00000000	88
2026.06.30	12:07:04.519			174350	6.00000000	88
2026.06.30	12:07:04.525			174350	2.00000000	88
2026.06.30	12:07:04.544			174350	2.00000000	88
2026.06.30	12:07:04.544	174345				2
2026.06.30	12:07:04.574			174350	1.00000000	120
2026.06.30	12:07:04.635			174355	1.00000000	56
2026.06.30	12:07:04.699			174355	1.00000000	56
2026.06.30	12:07:04.757			174350	1.00000000	120
2026.06.30	12:07:04.822			174355	7.00000000	56
2026.06.30	12:07:04.890	174355				2
2026.06.30	12:07:04.890		174360			4
2026.06.30	12:07:04.904			174355	10.00000000	88
2026.06.30	12:07:04.949			174355	1.00000000	88
2026.06.30	12:07:04.957			174360	13.00000000	56
2026.06.30	12:07:04.988			174360	4.00000000	56
2026.06.30	12:07:05.027			174360	6.00000000	56
2026.06.30	12:07:05.134			174360	8.00000000	56
2026.06.30	12:07:05.134			174360	38.00000000	56
2026.06.30	12:07:05.148			174360	1.00000000	56
2026.06.30	12:07:05.182			174360	2.00000000	56
2026.06.30	12:07:05.243			174360	10.00000000	56
2026.06.30	12:07:05.243	174360				2
2026.06.30	12:07:05.243		174365			4
2026.06.30	12:07:05.249			174360	6.00000000	56
2026.06.30	12:07:05.395			174360	3.00000000	88
2026.06.30	12:07:05.461			174360	13.00000000	88
2026.06.30	12:07:05.461			174355	7.00000000	88
2026.06.30	12:07:05.466			174360	1.00000000	88
2026.06.30	12:07:05.466			174365	4.00000000	56
2026.06.30	12:07:05.466			174365	1.00000000	56
2026.06.30	12:07:05.466			174360	2.00000000	88
2026.06.30	12:07:05.478			174365	1.00000000	56
2026.06.30	12:07:05.484			174365	1.00000000	56
2026.06.30	12:07:05.530			174360	10.00000000	88
2026.06.30	12:07:05.537			174365	1.00000000	56
2026.06.30	12:07:05.564			174360	7.00000000	88
2026.06.30	12:07:05.583			174355	1.00000000	88
2026.06.30	12:07:05.586			174355	1.00000000	88
2026.06.30	12:07:05.592	174355				2
2026.06.30	12:07:05.592		174360			4
2026.06.30	12:07:05.600			174355	1.00000000	88
2026.06.30	12:07:05.712			174355	4.00000000	88
2026.06.30	12:07:05.746			174360	1.00000000	56
2026.06.30	12:07:05.767			174360	1.00000000	56
2026.06.30	12:07:05.828			174355	1.00000000	88
2026.06.30	12:07:05.861			174360	1.00000000	56
2026.06.30	12:07:06.044			174360	1.00000000	56
2026.06.30	12:07:06.050			174360	25.00000000	56
2026.06.30	12:07:06.055			174360	1.00000000	56
2026.06.30	12:07:06.083			174360	2.00000000	56
2026.06.30	12:07:06.117			174360	10.00000000	56
2026.06.30	12:07:06.117			174360	15.00000000	56
2026.06.30	12:07:06.172			174360	1.00000000	56
2026.06.30	12:07:06.184			174365	3.00000000	56
2026.06.30	12:07:06.206			174365	10.00000000	56
2026.06.30	12:07:06.213			174365	1.00000000	56
2026.06.30	12:07:06.221			174365	27.00000000	56
2026.06.30	12:07:06.222			174365	7.00000000	56
2026.06.30	12:07:06.291	174365				2
2026.06.30	12:07:06.291		174370			4
2026.06.30	12:07:06.322			174370	45.00000000	56
2026.06.30	12:07:06.323			174370	51.00000000	56
2026.06.30	12:07:06.323			174370	24.00000000	56
2026.06.30	12:07:06.328			174370	3.00000000	56
2026.06.30	12:07:06.330			174370	1.00000000	56
2026.06.30	12:07:06.357			174370	1.00000000	56
2026.06.30	12:07:06.368			174370	1.00000000	56
2026.06.30	12:07:06.380			174375	2.00000000	56
2026.06.30	12:07:06.381			174370	1.00000000	56
2026.06.30	12:07:06.414			174370	1.00000000	56
2026.06.30	12:07:06.420			174370	1.00000000	56
2026.06.30	12:07:06.477			174370	31.00000000	56
2026.06.30	12:07:06.478			174365	22.00000000	88
2026.06.30	12:07:06.483			174365	1.00000000	88
2026.06.30	12:07:06.499			174365	2.00000000	88
2026.06.30	12:07:06.510			174360	12.00000000	88
2026.06.30	12:07:06.577			174365	3.00000000	88
2026.06.30	12:07:06.635	174360				2
2026.06.30	12:07:06.635		174365			4
2026.06.30	12:07:06.675			174365	1.00000000	56
2026.06.30	12:07:06.681			174365	1.00000000	56
2026.06.30	12:07:06.697			174365	12.00000000	56
2026.06.30	12:07:06.703			174365	5.00000000	56
2026.06.30	12:07:06.782			174365	1.00000000	56
2026.06.30	12:07:06.805			174365	1.00000000	56
2026.06.30	12:07:06.816			174365	3.00000000	56
2026.06.30	12:07:06.834			174360	1.00000000	88
2026.06.30	12:07:06.903			174365	1.00000000	56
2026.06.30	12:07:06.914			174365	19.00000000	56
2026.06.30	12:07:06.914			174365	51.00000000	56
2026.06.30	12:07:06.950			174365	1.00000000	56
2026.06.30	12:07:06.965			174360	5.00000000	88
2026.06.30	12:07:06.981			174365	5.00000000	56
2026.06.30	12:07:06.998			174365	5.00000000	56
2026.06.30	12:07:07.020			174365	1.00000000	56
2026.06.30	12:07:07.023			174360	1.00000000	88
2026.06.30	12:07:07.166			174365	1.00000000	56
2026.06.30	12:07:07.176			174365	1.00000000	56
2026.06.30	12:07:07.177			174360	32.00000000	88
2026.06.30	12:07:07.183			174365	1.00000000	56
2026.06.30	12:07:07.196			174365	2.00000000	56
2026.06.30	12:07:07.204			174360	1.00000000	88
2026.06.30	12:07:07.279			174365	1.00000000	56
2026.06.30	12:07:07.290			174365	1.00000000	56
2026.06.30	12:07:07.341			174360	1.00000000	88
2026.06.30	12:07:07.406			174365	2.00000000	56
2026.06.30	12:07:07.413			174365	1.00000000	56
2026.06.30	12:07:07.458			174365	3.00000000	56
2026.06.30	12:07:07.459			174360	2.00000000	88
2026.06.30	12:07:07.468			174355	21.00000000	88
2026.06.30	12:07:07.501			174360	1.00000000	88
2026.06.30	12:07:07.529			174360	2.00000000	88
2026.06.30	12:07:07.533			174360	40.00000000	88
2026.06.30	12:07:07.729			174360	20.00000000	88
2026.06.30	12:07:07.732			174360	1.00000000	88
2026.06.30	12:07:07.854			174360	1.00000000	88
2026.06.30	12:07:07.863			174355	1.00000000	88
2026.06.30	12:07:07.882			174360	5.00000000	88
2026.06.30	12:07:07.947			174355	1.00000000	88
2026.06.30	12:07:07.961			174360	6.00000000	88
2026.06.30	12:07:08.021	174355				2
2026.06.30	12:07:08.040		174360			4
2026.06.30	12:07:08.049			174360	1.00000000	120
2026.06.30	12:07:08.085			174360	3.00000000	56
2026.06.30	12:07:08.106			174360	1.00000000	56
2026.06.30	12:07:08.134			174360	2.00000000	56
2026.06.30	12:07:08.227			174360	1.00000000	56
2026.06.30	12:07:08.303			174360	10.00000000	56
2026.06.30	12:07:08.460			174360	1.00000000	56
2026.06.30	12:07:08.461			174355	25.00000000	88
2026.06.30	12:07:08.461			174355	9.00000000	88
2026.06.30	12:07:08.469			174355	1.00000000	88
2026.06.30	12:07:08.591			174360	1.00000000	56
2026.06.30	12:07:08.611			174360	1.00000000	56
2026.06.30	12:07:08.617			174355	2.00000000	88
2026.06.30	12:07:08.667			174355	1.00000000	88
2026.06.30	12:07:08.695			174355	3.00000000	88
2026.06.30	12:07:08.705			174355	2.00000000	88
2026.06.30	12:07:08.724			174355	2.00000000	88
2026.06.30	12:07:08.729			174350	1.00000000	88
2026.06.30	12:07:08.733	174350				2
2026.06.30	12:07:08.733		174355			4
2026.06.30	12:07:08.873			174350	7.00000000	88
2026.06.30	12:07:08.893			174355	1.00000000	56
2026.06.30	12:07:08.904			174355	1.00000000	56
2026.06.30	12:07:08.962			174355	1.00000000	56
2026.06.30	12:07:08.994			174350	1.00000000	88
2026.06.30	12:07:09.028			174350	5.00000000	88
2026.06.30	12:07:09.036			174350	1.00000000	88
2026.06.30	12:07:09.109			174350	1.00000000	88
2026.06.30	12:07:09.124			174355	5.00000000	56
2026.06.30	12:07:09.144			174350	2.00000000	88
2026.06.30	12:07:09.189			174350	2.00000000	88
2026.06.30	12:07:09.237			174355	2.00000000	56
2026.06.30	12:07:09.269			174355	1.00000000	56
2026.06.30	12:07:09.380			174350	2.00000000	88
2026.06.30	12:07:09.524			174350	1.00000000	88
2026.06.30	12:07:09.541			174350	6.00000000	88
2026.06.30	12:07:09.545			174355	1.00000000	56
2026.06.30	12:07:09.679			174350	3.00000000	88
2026.06.30	12:07:09.706			174355	2.00000000	56
2026.06.30	12:07:09.747			174355	1.00000000	56
